FECHA,Regular GTQ/GALON,Superior GTQ/GALON,Diesel GTQ/GALON,Glp Cilindro 25Lbs. GTQ/LB
2021-01-01,21.11,21.91,17.61,3.96
2021-01-02,21.11,21.91,17.61,3.96
2021-01-03,21.11,21.91,17.61,3.96
2021-01-04,21.11,21.91,17.61,3.96
2021-01-05,21.11,21.91,17.61,3.96
2021-01-06,21.11,21.91,17.61,3.96
2021-01-07,21.11,21.91,17.61,3.96
2021-01-08,21.11,21.91,17.61,3.96
2021-01-09,21.11,21.91,17.61,3.96
2021-01-10,21.11,21.91,17.61,3.96
2021-01-11,21.59,22.39,17.69,3.96
2021-01-12,21.59,22.39,17.69,3.96
2021-01-13,21.59,22.39,17.69,4.07
2021-01-14,21.59,22.39,17.69,4.07
2021-01-15,21.59,22.39,17.69,4.07
2021-01-16,21.59,22.39,17.69,4.28
2021-01-17,21.59,22.39,17.69,4.28
2021-01-18,22.41,23.21,18.3,4.28
2021-01-19,22.41,23.21,18.3,4.28
2021-01-20,22.41,23.21,18.3,4.4
2021-01-21,22.41,23.21,18.3,4.4
2021-01-22,22.41,23.21,18.3,4.4
2021-01-23,22.41,23.21,18.3,4.64
2021-01-24,22.41,23.21,18.3,4.64
2021-01-25,22.64,23.44,18.47,4.64
2021-01-26,22.64,23.44,18.47,4.64
2021-01-27,22.64,23.44,18.47,4.64
2021-01-28,22.64,23.44,18.47,4.64
2021-01-29,22.64,23.44,18.47,4.64
2021-01-30,22.64,23.44,18.47,4.64
2021-01-31,22.64,23.44,18.47,4.64
2021-02-01,22.77,23.57,18.57,4.64
2021-02-02,22.77,23.57,18.57,4.64
2021-02-03,22.77,23.57,18.57,4.64
2021-02-04,22.77,23.57,18.57,4.64
2021-02-05,22.77,23.57,18.57,4.64
2021-02-06,22.77,23.57,18.57,4.64
2021-02-07,22.77,23.57,18.57,4.64
2021-02-08,23.18,23.98,18.98,4.64
2021-02-09,23.18,23.98,18.98,4.64
2021-02-10,23.18,23.98,18.98,4.64
2021-02-11,23.18,23.98,18.98,4.64
2021-02-12,23.18,23.98,18.98,4.64
2021-02-13,23.18,23.98,18.98,4.64
2021-02-14,23.18,23.98,18.98,4.64
2021-02-15,23.59,24.39,19.79,4.64
2021-02-16,23.59,24.39,19.79,4.64
2021-02-17,23.59,24.39,19.79,4.64
2021-02-18,23.59,24.39,19.79,4.64
2021-02-19,23.59,24.39,19.79,4.64
2021-02-20,23.59,24.39,19.79,4.64
2021-02-21,23.59,24.39,19.79,4.64
2021-02-22,24.3,25.1,20.5,4.64
2021-02-23,24.3,25.1,20.5,4.64
2021-02-24,24.3,25.1,20.5,4.64
2021-02-25,24.3,25.1,20.5,4.64
2021-02-26,24.3,25.1,20.5,4.64
2021-02-27,24.3,25.1,20.5,4.64
2021-02-28,24.3,25.1,20.5,4.64
2021-03-01,25.05,25.85,20.86,4.64
2021-03-02,25.05,25.85,20.86,4.64
2021-03-03,25.05,25.85,20.86,4.64
2021-03-04,25.05,25.85,20.86,4.64
2021-03-05,25.05,25.85,20.86,4.64
2021-03-06,25.05,25.85,20.86,4.64
2021-03-07,25.05,25.85,20.86,4.64
2021-03-08,25.81,26.6,21.31,4.64
2021-03-09,25.81,26.6,21.31,4.64
2021-03-10,25.81,26.6,21.31,4.64
2021-03-11,25.81,26.6,21.31,4.72
2021-03-12,25.81,26.6,21.31,4.8
2021-03-13,25.81,26.6,21.31,4.8
2021-03-14,25.81,26.6,21.31,4.8
2021-03-15,26.47,27.27,21.68,4.8
2021-03-16,26.47,27.27,21.68,4.8
2021-03-17,26.47,27.27,21.68,4.8
2021-03-18,26.47,27.27,21.68,4.8
2021-03-19,26.47,27.27,21.68,4.8
2021-03-20,26.47,27.27,21.68,4.8
2021-03-21,26.47,27.27,21.68,4.8
2021-03-22,26.22,27.02,21.41,4.8
2021-03-23,26.22,27.02,21.41,4.8
2021-03-24,26.22,27.02,21.41,4.8
2021-03-25,26.22,27.02,21.41,4.8
2021-03-26,26.22,27.02,21.41,4.8
2021-03-27,26.22,27.02,21.41,4.8
2021-03-28,26.22,27.02,21.41,4.8
2021-03-29,25.56,26.35,20.8,4.8
2021-03-30,25.56,26.35,20.8,4.8
2021-03-31,25.56,26.35,20.8,4.8
2021-04-01,25.56,26.35,20.8,4.8
2021-04-02,25.56,26.35,20.8,4.8
2021-04-03,25.56,26.35,20.8,4.8
2021-04-04,25.56,26.35,20.8,4.8
2021-04-05,25.66,26.45,20.71,4.8
2021-04-06,25.66,26.45,20.71,4.8
2021-04-07,25.66,26.45,20.71,4.8
2021-04-08,25.66,26.45,20.71,4.8
2021-04-09,25.66,26.45,20.71,4.8
2021-04-10,25.66,26.45,20.71,4.8
2021-04-11,25.66,26.45,20.71,4.8
2021-04-12,26.17,26.97,20.43,4.8
2021-04-13,26.17,26.97,20.43,4.8
2021-04-14,26.17,26.97,20.43,4.8
2021-04-15,26.17,26.97,20.43,4.8
2021-04-16,26.17,26.97,20.43,4.8
2021-04-17,26.17,26.97,20.43,4.8
2021-04-18,26.17,26.97,20.43,4.8
2021-04-19,26.2,27.0,20.59,4.8
2021-04-20,26.2,27.0,20.59,4.8
2021-04-21,26.2,27.0,20.59,4.8
2021-04-22,26.2,27.0,20.59,4.8
2021-04-23,26.2,27.0,20.59,4.8
2021-04-24,26.2,27.0,20.59,4.8
2021-04-25,26.2,27.0,20.59,4.8
2021-04-26,26.49,27.27,20.87,4.8
2021-04-27,26.49,27.27,20.87,4.8
2021-04-28,26.49,27.27,20.87,4.8
2021-04-29,26.49,27.27,20.87,4.8
2021-04-30,26.49,27.27,20.87,4.8
2021-05-01,26.49,27.27,20.87,4.8
2021-05-02,26.49,27.27,20.87,4.8
2021-05-03,26.49,27.29,21.12,4.8
2021-05-04,26.49,27.29,21.12,4.8
2021-05-05,26.49,27.29,21.12,4.8
2021-05-06,26.49,27.29,21.12,4.8
2021-05-07,26.49,27.29,21.12,4.8
2021-05-08,26.49,27.29,21.12,4.8
2021-05-09,26.49,27.29,21.12,4.8
2021-05-10,27.09,27.89,21.79,4.8
2021-05-11,27.09,27.89,21.79,4.8
2021-05-12,27.09,27.89,21.79,4.8
2021-05-13,27.09,27.89,21.79,4.8
2021-05-14,27.09,27.89,21.79,4.8
2021-05-15,27.09,27.89,21.79,4.8
2021-05-16,27.09,27.89,21.79,4.8
2021-05-17,27.09,27.9,21.79,4.8
2021-05-18,27.09,27.9,21.79,4.8
2021-05-19,27.09,27.9,21.79,4.8
2021-05-20,27.09,27.9,21.79,4.8
2021-05-21,27.09,27.9,21.79,4.8
2021-05-22,27.09,27.9,21.79,4.8
2021-05-23,27.09,27.9,21.79,4.8
2021-05-24,27.08,27.88,21.78,4.8
2021-05-25,27.08,27.88,21.78,4.8
2021-05-26,27.08,27.88,21.78,4.8
2021-05-27,27.08,27.88,21.78,4.8
2021-05-28,27.08,27.88,21.78,4.8
2021-05-29,27.08,27.88,21.78,4.8
2021-05-30,27.08,27.88,21.78,4.8
2021-05-31,27.22,28.01,22.29,4.8
2021-06-01,27.22,28.01,22.29,4.8
2021-06-02,27.22,28.01,22.29,4.8
2021-06-03,27.22,28.01,22.29,4.8
2021-06-04,27.22,28.01,22.29,4.8
2021-06-05,27.22,28.01,22.29,4.8
2021-06-06,27.22,28.01,22.29,4.8
2021-06-07,27.2,27.99,22.58,4.8
2021-06-08,27.2,27.99,22.58,4.8
2021-06-09,27.2,27.99,22.58,4.8
2021-06-10,27.2,27.99,22.58,4.8
2021-06-11,27.2,27.99,22.58,4.8
2021-06-12,27.2,27.99,22.58,4.8
2021-06-13,27.2,27.99,22.58,4.8
2021-06-14,27.4,28.19,22.7,4.8
2021-06-15,27.4,28.19,22.7,4.8
2021-06-16,27.4,28.19,22.7,4.8
2021-06-17,27.4,28.19,22.7,4.8
2021-06-18,27.4,28.19,22.7,4.8
2021-06-19,27.4,28.19,22.7,4.8
2021-06-20,27.4,28.19,22.7,4.8
2021-06-21,26.86,27.68,21.88,4.8
2021-06-22,26.86,27.68,21.88,4.8
2021-06-23,26.86,27.68,21.88,4.8
2021-06-24,26.86,27.68,21.88,4.8
2021-06-25,26.86,27.68,21.88,4.8
2021-06-26,26.86,27.68,21.88,4.8
2021-06-27,26.86,27.68,21.88,4.8
2021-06-28,26.86,27.68,21.88,4.8
2021-06-29,26.8,27.6,21.81,4.8
2021-06-30,26.8,27.6,21.81,4.8
2021-07-01,26.8,27.6,21.81,4.8
2021-07-02,26.8,27.6,21.81,4.8
2021-07-03,26.8,27.6,21.81,4.8
2021-07-04,26.8,27.6,21.81,4.8
2021-07-05,27.98,28.78,22.97,4.8
2021-07-06,27.98,28.78,22.97,4.8
2021-07-07,27.98,28.78,22.97,4.8
2021-07-08,27.98,28.78,22.97,4.8
2021-07-09,27.98,28.78,22.97,4.8
2021-07-10,27.98,28.78,22.97,4.8
2021-07-11,27.98,28.78,22.97,4.8
2021-07-12,27.84,28.64,22.82,4.8
2021-07-13,27.84,28.64,22.82,4.8
2021-07-14,27.84,28.64,22.82,4.8
2021-07-15,27.84,28.64,22.82,4.8
2021-07-16,27.84,28.64,22.82,4.8
2021-07-17,27.84,28.64,22.82,4.8
2021-07-18,27.84,28.64,22.82,4.8
2021-07-19,27.54,28.34,22.55,4.8
2021-07-20,27.54,28.34,22.55,4.8
2021-07-21,27.54,28.34,22.55,4.8
2021-07-22,27.54,28.34,22.55,4.8
2021-07-23,27.54,28.34,22.55,4.8
2021-07-24,27.54,28.34,22.55,4.8
2021-07-25,27.54,28.34,22.55,4.8
2021-07-26,27.29,28.09,22.1,4.8
2021-07-27,27.29,28.09,22.1,4.8
2021-07-28,27.29,28.09,22.1,4.8
2021-07-29,27.29,28.09,22.1,4.8
2021-07-30,27.29,28.09,22.1,4.8
2021-07-31,27.29,28.09,22.1,4.8
2021-08-01,27.29,28.09,22.1,4.8
2021-08-02,28.28,29.1,23.1,4.8
2021-08-03,28.28,29.1,23.1,4.8
2021-08-04,28.28,29.1,23.1,4.8
2021-08-05,28.28,29.1,23.1,4.8
2021-08-06,28.28,29.1,23.1,4.8
2021-08-07,28.28,29.1,23.1,4.8
2021-08-08,28.28,29.1,23.1,4.8
2021-08-09,28.27,29.09,23.09,4.8
2021-08-10,28.27,29.09,23.09,4.8
2021-08-11,28.27,29.09,23.09,4.8
2021-08-12,28.27,29.09,23.09,4.8
2021-08-13,28.27,29.09,23.09,4.8
2021-08-14,28.27,29.09,23.09,4.8
2021-08-15,28.27,29.09,23.09,4.8
2021-08-16,28.27,29.09,23.09,4.8
2021-08-17,28.0,28.8,22.8,4.8
2021-08-18,28.0,28.8,22.8,4.8
2021-08-19,28.0,28.8,22.8,4.8
2021-08-20,28.0,28.8,22.8,4.8
2021-08-21,28.0,28.8,22.8,4.8
2021-08-22,28.0,28.8,22.8,4.8
2021-08-23,27.99,28.79,22.79,4.8
2021-08-24,27.99,28.79,22.79,4.8
2021-08-25,27.99,28.79,22.79,4.8
2021-08-26,27.99,28.79,22.79,4.8
2021-08-27,27.99,28.79,22.79,4.8
2021-08-28,27.99,28.79,22.79,4.8
2021-08-29,27.99,28.79,22.79,4.8
2021-08-30,27.99,28.79,22.79,4.8
2021-08-31,27.99,28.79,22.79,4.8
2021-09-01,27.99,28.79,22.79,4.8
2021-09-02,27.99,28.79,22.79,4.8
2021-09-03,27.99,28.79,22.79,4.8
2021-09-04,27.99,28.79,22.79,4.8
2021-09-05,27.99,28.79,22.79,4.8
2021-09-06,28.4,29.11,23.2,4.8
2021-09-07,28.4,29.11,23.2,4.8
2021-09-08,28.4,29.11,23.2,4.8
2021-09-09,28.4,29.11,23.2,4.8
2021-09-10,28.4,29.11,23.2,4.8
2021-09-11,28.4,29.11,23.2,4.8
2021-09-12,28.4,29.11,23.2,4.8
2021-09-13,28.4,29.08,23.47,4.8
2021-09-14,28.4,29.08,23.47,4.8
2021-09-15,28.4,29.08,23.47,4.8
2021-09-16,28.4,29.08,23.47,4.8
2021-09-17,28.4,29.08,23.47,4.8
2021-09-18,28.4,29.08,23.47,4.8
2021-09-19,28.4,29.08,23.47,4.8
2021-09-20,28.58,29.27,23.77,5.04
2021-09-21,28.58,29.27,23.77,5.04
2021-09-22,28.58,29.27,23.77,5.04
2021-09-23,28.58,29.27,23.77,5.16
2021-09-24,28.58,29.27,23.77,5.16
2021-09-25,28.58,29.27,23.77,5.16
2021-09-26,28.58,29.27,23.77,5.16
2021-09-27,28.59,29.29,23.79,5.16
2021-09-28,28.59,29.29,23.79,5.16
2021-09-29,28.59,29.29,23.79,5.16
2021-09-30,28.59,29.29,23.79,5.28
2021-10-01,28.59,29.29,23.79,5.28
2021-10-02,28.59,29.29,23.79,5.28
2021-10-03,28.59,29.29,23.79,5.28
2021-10-04,28.3,29.01,24.48,5.28
2021-10-05,28.3,29.01,24.48,5.28
2021-10-06,28.3,29.01,24.48,5.28
2021-10-07,28.3,29.01,24.48,5.28
2021-10-08,28.3,29.01,24.48,5.28
2021-10-09,28.3,29.01,24.48,5.28
2021-10-10,28.3,29.01,24.48,5.28
2021-10-11,29.28,29.98,25.41,5.28
2021-10-12,29.28,29.98,25.41,5.28
2021-10-13,29.28,29.98,25.41,5.28
2021-10-14,29.28,29.98,25.41,5.28
2021-10-15,29.28,29.98,25.41,5.28
2021-10-16,29.28,29.98,25.41,5.28
2021-10-17,29.28,29.98,25.41,5.28
2021-10-18,29.28,29.97,25.44,5.28
2021-10-19,29.28,29.97,25.44,5.28
2021-10-20,29.28,29.97,25.44,5.28
2021-10-21,29.28,29.97,25.44,5.28
2021-10-22,29.28,29.97,25.44,5.28
2021-10-23,29.28,29.97,25.44,5.28
2021-10-24,29.28,29.97,25.44,5.28
2021-10-25,30.28,30.98,26.49,5.28
2021-10-26,30.28,30.98,26.49,5.28
2021-10-27,30.28,30.98,26.49,5.28
2021-10-28,30.28,30.98,26.49,5.28
2021-10-29,30.28,30.98,26.49,5.28
2021-10-30,30.28,30.98,26.49,5.28
2021-10-31,30.28,30.98,26.49,5.28
2021-11-01,30.28,30.98,26.49,5.55
2021-11-02,30.28,30.98,26.48,5.55
2021-11-03,30.28,30.98,26.48,5.55
2021-11-04,30.28,30.98,26.48,5.55
2021-11-05,30.28,30.98,26.48,5.55
2021-11-06,30.28,30.98,26.48,5.55
2021-11-07,30.28,30.98,26.48,5.55
2021-11-08,30.3,30.99,26.49,5.55
2021-11-09,30.3,30.99,26.49,5.55
2021-11-10,30.3,30.99,26.49,5.55
2021-11-11,30.3,30.99,26.49,5.55
2021-11-12,30.3,30.99,26.49,5.55
2021-11-13,30.3,30.99,26.49,5.55
2021-11-14,30.3,30.99,26.49,5.55
2021-11-15,29.93,30.63,26.12,5.55
2021-11-16,29.93,30.63,26.12,5.55
2021-11-17,29.93,30.63,26.12,5.55
2021-11-18,29.93,30.63,26.12,5.55
2021-11-19,29.93,30.63,26.12,5.55
2021-11-20,29.93,30.63,26.12,5.55
2021-11-21,29.93,30.63,26.12,5.55
2021-11-22,29.32,30.01,25.7,5.55
2021-11-23,29.32,30.01,25.7,5.55
2021-11-24,29.32,30.01,25.7,5.55
2021-11-25,29.32,30.01,25.7,5.55
2021-11-26,29.32,30.01,25.7,5.55
2021-11-27,29.32,30.01,25.7,5.55
2021-11-28,29.32,30.01,25.7,5.55
2021-11-29,29.07,29.78,25.33,5.55
2021-11-30,29.07,29.78,25.33,5.55
2021-12-01,29.07,29.78,25.33,4.88
2021-12-02,29.07,29.78,25.33,4.88
2021-12-03,29.07,29.78,25.33,4.88
2021-12-04,29.07,29.78,25.33,4.88
2021-12-05,29.07,29.78,25.33,4.88
2021-12-06,28.1,28.82,24.36,4.88
2021-12-07,28.1,28.82,24.36,4.88
2021-12-08,28.1,28.82,24.36,4.88
2021-12-09,28.1,28.82,24.36,4.88
2021-12-10,28.1,28.82,24.36,4.88
2021-12-11,28.1,28.82,24.36,4.88
2021-12-12,28.1,28.82,24.36,4.88
2021-12-13,28.06,28.78,24.28,4.88
2021-12-14,28.06,28.78,24.28,4.88
2021-12-15,28.06,28.78,24.28,4.88
2021-12-16,28.06,28.78,24.28,4.88
2021-12-17,28.06,28.78,24.28,4.88
2021-12-18,28.06,28.78,24.28,4.88
2021-12-19,28.06,28.78,24.28,4.88
2021-12-20,28.06,28.78,24.28,4.88
2021-12-21,28.06,28.78,24.28,4.88
2021-12-22,28.06,28.78,24.28,4.88
2021-12-23,28.06,28.78,24.28,4.88
2021-12-24,28.06,28.78,24.28,4.88
2021-12-25,28.06,28.78,24.28,4.88
2021-12-26,28.06,28.78,24.28,4.88
2021-12-27,27.91,28.69,24.51,4.88
2021-12-28,27.91,28.69,24.51,4.88
2021-12-29,27.91,28.69,24.51,4.88
2021-12-30,27.91,28.69,24.51,4.88
2021-12-31,27.91,28.69,24.51,4.88
2022-01-01,27.91,28.69,24.51,4.88
2022-01-02,27.91,28.69,24.51,4.88
2022-01-03,27.99,28.79,24.6,4.88
2022-01-04,27.99,28.79,24.6,4.88
2022-01-05,27.99,28.79,24.6,4.88
2022-01-06,27.99,28.79,24.6,4.88
2022-01-07,27.99,28.79,24.6,4.88
2022-01-08,27.99,28.79,24.6,4.88
2022-01-09,27.99,28.79,24.6,4.88
2022-01-10,28.85,29.65,25.46,4.88
2022-01-11,28.85,29.65,25.46,4.88
2022-01-12,28.85,29.65,25.46,4.88
